"","Well","Sample","SampleType","Ct","WormNumber","strip.well","Line","Strain","Species","start","passage","days.on.plate"
"420","D12","FCX29","strip",Inf,3,12,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"421","E6","FCX27","strip",Inf,3,13,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"422","E7","FCX30","strip",Inf,2,5,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"423","E8","FCX30","strip",Inf,3,13,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"424","E9","FCX29","strip",Inf,2,5,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"425","E10","FCX17","strip",Inf,2,5,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"426","E11","FCX16","strip",Inf,2,5,"FCX16","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"427","E12","FCX29","strip",25.3728,3,13,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"428","F6","FCX27","strip",26.3762,3,14,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"429","F7","FCX30","strip",Inf,2,6,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"430","F8","FCX30","strip",Inf,3,14,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"431","F9","FCX29","strip",Inf,2,6,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"432","F10","FCX17","strip",Inf,2,6,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"433","F11","FCX16","strip",Inf,2,6,"FCX16","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"434","F12","FCX29","strip",Inf,3,14,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"435","G6","FCX27","strip",Inf,3,15,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"436","G7","FCX30","strip",Inf,2,7,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"437","G8","FCX30","strip",Inf,3,15,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"438","G9","FCX29","strip",Inf,2,7,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"439","G10","FCX17","strip",Inf,2,7,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"440","G11","FCX16","strip",Inf,2,7,"FCX16","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"441","H6","FCX27","strip",Inf,3,16,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"442","H7","FCX30","strip",Inf,3,8,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"443","H8","FCX30","strip",Inf,3,16,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"444","H9","FCX29","strip",30.462,3,8,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"445","H10","FCX17","strip",Inf,3,8,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"446","H11","FCX16","strip",Inf,3,8,"FCX16","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"447","E7","FCX17","strip",Inf,3,9,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"448","E8","FCX17","strip",Inf,3,10,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"449","E9","FCX17","strip",35.2428,3,11,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"450","E10","FCX17","strip",Inf,3,12,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"451","E11","FCX17","strip",26.5968,3,13,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"452","E12","FCX17","strip",35.2455,3,14,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"453","F1","FCX17","strip",Inf,3,15,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"454","F2","FCX17","strip",29.327,3,16,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"455","F3","FCX18","strip",Inf,0,1,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"456","F4","FCX18","strip",Inf,1,2,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"457","F5","FCX18","strip",Inf,1,3,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"458","F6","FCX18","strip",Inf,1,4,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"459","F7","FCX18","strip",Inf,2,5,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"460","F8","FCX18","strip",Inf,2,6,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"461","F9","FCX18","strip",33.9433,2,7,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"462","F10","FCX18","strip",Inf,3,8,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"463","F11","FCX18","strip",Inf,3,9,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"464","F12","FCX18","strip",Inf,3,10,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"465","G1","FCX18","strip",Inf,3,11,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"466","G2","FCX18","strip",Inf,3,12,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"467","G3","FCX18","strip",Inf,3,13,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"468","G4","FCX18","strip",Inf,3,14,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"469","G5","FCX18","strip",Inf,3,15,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"470","G6","FCX18","strip",Inf,3,16,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
