"","Line","Strain","Species","block","trans.ability","median.ct","pre.ct","best.y","l.y","h.y","best.p","l.p","h.p","strain.overall","TCID50","conf.low","conf.high","strain.group","rel.susc","rel.susc.low","rel.susc.high","p.paper","NAME","Sample","Passage","Ct","infected"
"170","FCY8","JU4093","sp.65","FCY",1,29.4065,31.1189219346232,0,0,0.43,0.12,0.04,0.25,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093","FCY8.2","2",Inf,0
"171","FCY9","JU4093","sp.65","FCY",0,35.07375,31.4232086968131,0,0,1,0.06,0.01,0.16,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093","FCY9.1","1",Inf,0
"172","FCZ10","SB454","sulstoni","FCZ",10,27.709,28.7574258050367,1,0.12,1,0.39,0.22,0.6,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.35385809884517,"C. sulstoni
 SB454","FCZ10.1","1",12.4525,1
"173","FCZ10","SB454","sulstoni","FCZ",10,27.709,28.7574258050367,1,0.12,1,0.39,0.22,0.6,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.35385809884517,"C. sulstoni
 SB454","FCZ10.2","2",13.9363,1
"174","FCZ10","SB454","sulstoni","FCZ",10,27.709,28.7574258050367,1,0.12,1,0.39,0.22,0.6,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.35385809884517,"C. sulstoni
 SB454","FCZ10.3","3",14.5556,1
"175","FCZ10","SB454","sulstoni","FCZ",10,27.709,28.7574258050367,1,0.12,1,0.39,0.22,0.6,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.35385809884517,"C. sulstoni
 SB454","FCZ10.4","4",12.6952,1
"176","FCZ10","SB454","sulstoni","FCZ",10,27.709,28.7574258050367,1,0.12,1,0.39,0.22,0.6,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.35385809884517,"C. sulstoni
 SB454","FCZ10.5","5",13.1241,1
"177","FCZ10","SB454","sulstoni","FCZ",10,27.709,28.7574258050367,1,0.12,1,0.39,0.22,0.6,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.35385809884517,"C. sulstoni
 SB454","FCZ10.8","8",13.7218,1
"178","FCZ10","SB454","sulstoni","FCZ",10,27.709,28.7574258050367,1,0.12,1,0.39,0.22,0.6,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.35385809884517,"C. sulstoni
 SB454","FCZ10.7","7",13.1275,1
"179","FCZ10","SB454","sulstoni","FCZ",10,27.709,28.7574258050367,1,0.12,1,0.39,0.22,0.6,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.35385809884517,"C. sulstoni
 SB454","FCZ10.8","8",14.4361,1
"180","FCZ10","SB454","sulstoni","FCZ",10,27.709,28.7574258050367,1,0.12,1,0.39,0.22,0.6,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.35385809884517,"C. sulstoni
 SB454","FCZ10.9","9",16.1841,1
"181","FCZ10","SB454","sulstoni","FCZ",10,27.709,28.7574258050367,1,0.12,1,0.39,0.22,0.6,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.35385809884517,"C. sulstoni
 SB454","FCZ10.10","10",23.909,1
"182","FCZ11","JU4093","sp.65","FCZ",1,NA,26.6560494225053,1,0.05,1,1,0.05,1,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.702100147924229,"C. sp. 65
 JU4093","FCZ11.1","1",16.9423,1
"183","FCZ11","JU4093","sp.65","FCZ",1,NA,26.6560494225053,1,0.05,1,1,0.05,1,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.702100147924229,"C. sp. 65
 JU4093","FCZ11.2","2",Inf,0
"184","FCZ12","JU4093","sp.65","FCZ",1,32.7561,29.5974881236739,0,0,0.1,0.42,0.22,0.66,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093","FCZ12.1","1",30.5979,1
"185","FCZ12","JU4093","sp.65","FCZ",1,32.7561,29.5974881236739,0,0,0.1,0.42,0.22,0.66,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093","FCZ12.2","2",Inf,0
