,Well,Sample,SampleType,Ct,WormNumber,Line,Strain,Species,start,passage,days.on.plate,inf
361,H2,FCY20,strip,Inf,3,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
362,H3,FCY20,strip,28.1887,3,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
363,H4,FCY33,strip,23.723,3,FCY33,JU1428,tropicalis,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
364,H5,FCY25,strip,Inf,3,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
365,H6,FCY25,strip,34.5455,3,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
366,H7,FCY21,strip,20.2286,3,FCY21,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
367,H8,FCY4,strip,Inf,3,FCY4,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
368,H9,FCY3,strip,Inf,3,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
369,H10,FCY3,strip,Inf,3,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
370,H11,FCY27,strip,31.3075,3,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
371,H12,FCY27,strip,26.585,3,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
372,A2,FCY15,strip,Inf,3,FCY15,JU724,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
373,A3,FCY15,strip,Inf,0,FCY15,JU724,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
374,A4,FCY31,strip,Inf,0,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
375,A5,FCY31,strip,Inf,3,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
376,A6,FCY26,strip,Inf,0,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
377,A7,FCY26,strip,Inf,3,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
378,A8,FCY18,strip,Inf,0,FCY18,JU724,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
379,A9,FCY18,strip,26.7671,2,FCY18,JU724,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,1
380,A10,FCY28,strip,Inf,3,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
381,A11,FCY28,strip,Inf,3,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
382,A12,FCY28,strip,Inf,2,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
383,B2,FCY15,strip,37.7458,3,FCY15,JU724,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
384,B3,FCY15,strip,Inf,1,FCY15,JU724,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
385,B4,FCY31,strip,Inf,1,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
386,B5,FCY31,strip,Inf,3,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
387,B6,FCY26,strip,30.6426,1,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,1
388,B7,FCY26,strip,Inf,3,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
389,B8,FCY18,strip,Inf,1,FCY18,JU724,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
390,B9,FCY18,strip,Inf,2,FCY18,JU724,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
391,B10,FCY28,strip,Inf,3,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
392,B11,FCY28,strip,Inf,0,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
393,B12,FCY28,strip,Inf,2,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
394,C2,FCY28,strip,39.9904,3,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,1
395,C3,FCY15,strip,Inf,1,FCY15,JU724,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
396,C4,FCY31,strip,Inf,1,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
397,C5,FCY31,strip,Inf,3,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
398,C6,FCY26,strip,Inf,1,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
399,C7,FCY26,strip,Inf,3,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
400,C8,FCY18,strip,37.9164,1,FCY18,JU724,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,1
401,C9,FCY18,strip,34.6547,3,FCY18,JU724,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,1
402,C10,FCY28,strip,Inf,3,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
403,C11,FCY28,strip,26.3376,1,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,1
404,C12,FCY28,strip,24.7998,2,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,1
405,D2,FCY28,strip,Inf,3,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
406,D3,FCY15,strip,Inf,1,FCY15,JU724,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
407,D4,FCY31,strip,Inf,1,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
408,D5,FCY31,strip,Inf,3,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
409,D6,FCY26,strip,Inf,1,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
410,D7,FCY26,strip,Inf,3,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
411,D8,FCY18,strip,Inf,1,FCY18,JU724,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
412,D9,FCY18,strip,Inf,3,FCY18,JU724,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
413,D10,FCY28,strip,Inf,3,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
414,D11,FCY28,strip,28.7995,1,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,1
415,D12,FCY28,strip,Inf,3,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
416,E3,FCY15,strip,Inf,2,FCY15,JU724,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
417,E4,FCY31,strip,Inf,2,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
418,E5,FCY31,strip,Inf,3,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
419,E6,FCY26,strip,Inf,2,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
420,E7,FCY26,strip,34.9647,3,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,1
