"","Line","Strain","Species","block","trans.ability","median.ct","pre.ct","best.y","l.y","h.y","best.p","l.p","h.p","strain.overall","TCID50","conf.low","conf.high","strain.group","rel.susc","rel.susc.low","rel.susc.high","p.paper","NAME"
"58","FCY4","ZF1092","sp.25","FCY",0,35.8301,32.7396961699261,0,0,1,0.05,0.01,0.19,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092"
"59","FCY5","ZF1092","sp.25","FCY",1,34.52215,32.4129803120274,0,0,0.43,0.12,0.04,0.26,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092"
"60","FCY6","ZF1092","sp.25","FCY",1,32.9083,32.7863698639117,0,0,1,0.04,0.01,0.17,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092"
"61","FCY7","JU4093","sp.65","FCY",0,19.6021,31.0375121324661,0.59,0.08,1,0.12,0.05,0.26,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.0269408543038776,"C. sp. 65
 JU4093"
"62","FCY8","JU4093","sp.65","FCY",1,29.4065,31.0375121324661,0,0,0.43,0.12,0.04,0.25,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093"
"63","FCY9","JU4093","sp.65","FCY",0,35.07375,31.3175542963793,0,0,1,0.06,0.01,0.16,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093"
"64","FCZ10","SB454","sulstoni","FCZ",10,27.709,28.7376423371715,1,0.12,1,0.39,0.22,0.6,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.354101376622005,"C. sulstoni
 SB454"
"65","FCZ11","JU4093","sp.65","FCZ",1,NA,26.9302270617394,1,0.05,1,1,0.05,1,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.683755344355391,"C. sp. 65
 JU4093"
"66","FCZ12","JU4093","sp.65","FCZ",1,32.7561,29.6373013129002,0,0,0.1,0.42,0.22,0.66,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093"
"67","FCZ13","JU4093","sp.65","FCZ",1,35.152,30.850817356524,0,0,0.3,0.16,0.07,0.31,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093"
"68","FCZ14","JU4093","sp.65","FCZ",0,35.7448,30.5241014986252,0.31,0.05,1,0.23,0.11,0.4,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.0298226448824079,"C. sp. 65
 JU4093"
"69","FCZ15","JU1428","tropicalis","FCZ",0,35.14295,30.0816159563301,0,0,0.24,0.2,0.09,0.36,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428"
"70","FCZ16","JU1428","tropicalis","FCZ",0,27.0402,29.4748579345182,0,0,0.14,0.33,0.13,0.58,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428"
"71","FCZ17","JU1428","tropicalis","FCZ",1,35.3801,30.0816159563301,0.13,0.01,0.77,0.2,0.08,0.38,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.0205103152178113,"C. tropicalis
 JU1428"
"72","FCZ18","JU1428","tropicalis","FCZ",0,31.3263,29.6615527104603,0.09,0.01,0.46,0.29,0.15,0.48,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.0211733856227334,"C. tropicalis
 JU1428"
"73","FCZ19","ZF1092","sp.25","FCZ",0,NA,32.9730646398538,1,0,1,0,0,0.08,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092"
"74","FCZ20","ZF1092","sp.25","FCZ",0,35.6937,32.553001393984,0,0,1,0.09,0.01,0.34,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092"
"75","FCZ21","ZF1092","sp.25","FCZ",0,NA,32.8797172518827,1,0.05,1,0.02,0.01,0.16,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0.00282657335098589,"C. sp. 25
 ZF1092"
"76","FCZ22","ZF1092","sp.25","FCZ",1,35.3075,31.5261801263023,0,0,0.17,0.31,0.09,0.64,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092"
"77","FCZ23","VX80","latens","FCZ",2,28.9121,29.2362151947857,0.11,0.01,0.55,0.25,0.12,0.44,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.019012730259254,"C. latens
 VX80"
"78","FCZ25","VX80","latens","FCZ",1,25.22135,28.2560676210895,0.15,0.03,0.7,0.46,0.17,0.8,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0520109225431431,"C. latens
 VX80"
"79","FCZ26","VX80","latens","FCZ",0,35.3729,29.0961941128291,0.1,0.01,0.59,0.28,0.1,0.54,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0196195896022571,"C. latens
 VX80"
"80","FCZ28","JU1873","wallacei","FCZ",1,NA,31.2255171812552,0.06,0.01,0.26,0.48,0.28,0.71,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0.0169169397265979,"C. wallacei
 JU1873"
"81","FCZ29","JU1873","wallacei","FCZ",0,35.58005,32.8590964707488,0,0,0.41,0.13,0.05,0.27,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873"
"82","FCZ3","JU1857","macrosperma","FCZ",0,34.20755,30.045290657658,0,0,0.1,0.42,0.23,0.64,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
"83","FCZ30","JU1873","wallacei","FCZ",0,33.4667,32.8590964707488,0,0,0.41,0.13,0.05,0.27,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873"
"84","FCZ31","JU724.2","latens","FCZ",10,24.9617,27.1815173101898,1,0.05,1,1,0.67,1,"JU724",666.9,143.5,2619,"JU724",0.192190201729107,0.0413544668587896,0.754755043227666,0.97661615383822,"C. latens
 JU724"
"85","FCZ32","JU724.2","latens","FCZ",10,25.89155,28.1149911899004,1,0.06,1,0.8,0.5,0.98,"JU724",666.9,143.5,2619,"JU724",0.192190201729107,0.0413544668587896,0.754755043227666,0.771918475946492,"C. latens
 JU724"
"86","FCZ4","JU1857","macrosperma","FCZ",1,26.6072,30.745396067441,0,0,0.17,0.27,0.14,0.44,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
"87","FCZ5","JU1857","macrosperma","FCZ",0,35.425,30.8854171493976,0,0,0.19,0.24,0.11,0.41,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
"88","FCZ6","JU1857","macrosperma","FCZ",1,31.7874,30.6987223734554,0,0,0.16,0.28,0.14,0.47,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
"89","FCZ7","SB454","sulstoni","FCZ",10,25.4303,26.8240208837647,1,0.06,1,0.8,0.5,0.98,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.76379872934415,"C. sulstoni
 SB454"
"90","FCZ8","SB454","sulstoni","FCZ",10,27.5873,26.8240208837647,1,0.06,1,0.8,0.5,0.98,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.76379872934415,"C. sulstoni
 SB454"
"91","FCZ9","SB454","sulstoni","FCZ",4,33.1015,30.1378531567374,0,0,0.63,0.09,0.03,0.22,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0,"C. sulstoni
 SB454"
"92","FDI10","JU1428","tropicalis","FDI",0,26.8141,30.2683107322722,0,0,0.31,0.16,0.06,0.31,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428"
"93","FDI11","JU1857","macrosperma","FDI",1,31.9247,31.7255436411371,0,0,1,0.06,0.02,0.17,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
"94","FDI12","JU1857","macrosperma","FDI",1,29.6668,31.2588067012818,0,0,0.31,0.16,0.06,0.31,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
