"","Sample","Passage","Ct","Line","Strain","Species","start","passage","days.on.plate"
"249","FDI29.6",NA,NA,"FDI29","JU1873","wallacei","1/0/1900 0:00","",0
"250","FDI30.6",NA,NA,"FDI30","JU1873","wallacei","1/0/1900 0:00","",0
"251","FDI31.6",NA,NA,"FDI31","VX80","latens","1/0/1900 0:00","",0
"252","FDI32.6",NA,NA,"FDI32","VX80","latens","1/0/1900 0:00","",0
"253","FDI33.6",NA,NA,"FDI33","VX80","latens","1/0/1900 0:00","",0
"254","FDI34.6",NA,NA,"FDI34","VX80","latens","1/0/1900 0:00","",0
"255","FDI3.7",NA,NA,"FDI3","ZF1092","sp.25","1/0/1900 0:00","",0
"256","FDI4.7",NA,NA,"FDI4","ZF1092","sp.25","1/0/1900 0:00","",0
"257","FDI5.7",NA,NA,"FDI5","ZF1092","sp.25","1/0/1900 0:00","",0
"258","FDI6.7",NA,NA,"FDI6","ZF1092","sp.25","1/0/1900 0:00","",0
"259","FDI7.7",NA,NA,"FDI7","JU1428","tropicalis","1/0/1900 0:00","",0
"260","FDI8.7",NA,NA,"FDI8","JU1428","tropicalis","1/0/1900 0:00","",0
"261","FDI9.7",NA,NA,"FDI9","JU1428","tropicalis","1/0/1900 0:00","",0
"262","FDI10.7",NA,NA,"FDI10","JU1428","tropicalis","1/0/1900 0:00","",0
"263","FDI11.7",NA,NA,"FDI11","JU1857","macrosperma","1/0/1900 0:00","",0
"264","FDI12.7",NA,NA,"FDI12","JU1857","macrosperma","1/0/1900 0:00","",0
"265","FDI14.7",NA,NA,"FDI14","JU1857","macrosperma","1/0/1900 0:00","",0
"266","FDI19.7",NA,NA,"FDI19","JU724","latens","1/0/1900 0:00","",0
"267","FDI20.7",NA,NA,"FDI20","JU724","latens","1/0/1900 0:00","",0
"268","FDI21.7",NA,NA,"FDI21","JU724","latens","1/0/1900 0:00","",0
"269","FDI22.7",NA,NA,"FDI22","JU724","latens","1/0/1900 0:00","",0
"270","FDI23.7",NA,NA,"FDI23","JU4093","sp.65","1/0/1900 0:00","",0
"271","FDI24.7",NA,NA,"FDI24","JU4093","sp.65","1/0/1900 0:00","",0
"272","FDI26.7",NA,NA,"FDI26","JU4093","sp.65","1/0/1900 0:00","",0
"273","FDI27.7",NA,NA,"FDI27","JU1873","wallacei","1/0/1900 0:00","",0
"274","FDI28.7",NA,NA,"FDI28","JU1873","wallacei","1/0/1900 0:00","",0
"275","FDI29.7",NA,NA,"FDI29","JU1873","wallacei","1/0/1900 0:00","",0
"276","FDI30.7",NA,NA,"FDI30","JU1873","wallacei","1/0/1900 0:00","",0
"277","FDI31.7",NA,NA,"FDI31","VX80","latens","1/0/1900 0:00","",0
"278","FDI32.7",NA,NA,"FDI32","VX80","latens","1/0/1900 0:00","",0
"279","FDI33.7",NA,NA,"FDI33","VX80","latens","1/0/1900 0:00","",0
"280","FDI34.7",NA,NA,"FDI34","VX80","latens","1/0/1900 0:00","",0
"281","FDI3.8",NA,NA,"FDI3","ZF1092","sp.25","1/0/1900 0:00","",0
"282","FDI4.8",NA,NA,"FDI4","ZF1092","sp.25","1/0/1900 0:00","",0
"283","FDI5.8",NA,NA,"FDI5","ZF1092","sp.25","1/0/1900 0:00","",0
"284","FDI6.8",NA,NA,"FDI6","ZF1092","sp.25","1/0/1900 0:00","",0
"285","FDI7.8",NA,NA,"FDI7","JU1428","tropicalis","1/0/1900 0:00","",0
"286","FDI8.8",NA,NA,"FDI8","JU1428","tropicalis","1/0/1900 0:00","",0
"287","FDI9.8",NA,NA,"FDI9","JU1428","tropicalis","1/0/1900 0:00","",0
"288","FDI10.8",NA,NA,"FDI10","JU1428","tropicalis","1/0/1900 0:00","",0
"289","FDI11.8",NA,NA,"FDI11","JU1857","macrosperma","1/0/1900 0:00","",0
