"","Well","Sample","SampleType","Ct","WormNumber","Line","Strain","Species","start","passage","days.on.plate"
"196","C5","FCZ8","strip",16.8316,3,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"197","C6","FCZ4","strip",31.5636,1,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"198","C7","FCZ4","strip",Inf,3,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"199","C8","FCZ5","strip",Inf,1,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"200","C9","FCZ5","strip",Inf,3,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"201","C10","FCZ15","strip",Inf,1,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"202","C11","FCZ15","strip",23.727,3,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"203","C12","FCZ23","strip",Inf,1,"FCZ23","VX80","latens","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"204","D4","FCZ8","strip",31.1547,1,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"205","D5","FCZ8","strip",22.9602,3,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"206","D6","FCZ4","strip",Inf,1,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"207","D7","FCZ4","strip",21.1243,3,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"208","D8","FCZ5","strip",26.2097,1,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"209","D9","FCZ5","strip",35.0931,3,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"210","D10","FCZ15","strip",36,1,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"211","D11","FCZ15","strip",Inf,3,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"212","D12","FCZ23","strip",Inf,1,"FCZ23","VX80","latens","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"213","E4","FCZ8","strip",24.4356,2,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"214","E5","FCZ8","strip",20.7041,3,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"215","E6","FCZ4","strip",26.8725,2,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"216","E7","FCZ4","strip",Inf,3,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"217","E8","FCZ5","strip",35.2342,2,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"218","E9","FCZ5","strip",Inf,3,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"219","E10","FCZ15","strip",Inf,2,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"220","E11","FCZ15","strip",Inf,3,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"221","E12","FCZ23","strip",Inf,2,"FCZ23","VX80","latens","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"222","F4","FCZ8","strip",25.453,2,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"223","F5","FCZ8","strip",15.978,3,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"224","F6","FCZ4","strip",22.7311,2,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"225","F7","FCZ4","strip",26.3419,3,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"226","F8","FCZ5","strip",Inf,2,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"227","F9","FCZ5","strip",36.8151,3,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"228","F10","FCZ15","strip",Inf,2,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"229","F11","FCZ15","strip",38.6344,3,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"230","F12","FCZ23","strip",Inf,2,"FCZ23","VX80","latens","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"231","G4","FCZ8","strip",30.1585,2,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"232","G5","FCZ8","strip",17.0998,3,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
